category,item,required_or_optional,spec_or_notes
drive,function generator,required,"DC-coupled output with adjustable DC offset (0-2.8 V) and Vac_peak amplitude (0.05-0.50 V minimum range); direct drive is the default, see ELECTRICAL_MEASUREMENT_SETUP.md section 1"
drive,external power amplifier (fallback only),fallback spec only - do not select or purchase yet,"DC-coupled, low output impedance, >= 0.2 A peak current, explicitly rated/stabilized for capacitive loads; use only if the amplifier-fallback trigger in ELECTRICAL_MEASUREMENT_SETUP.md section 6 is observed"
measurement,oscilloscope,required,">=2 channels (SENSE+, SENSE-) referenced to common ground; bandwidth comfortably above 20 kHz (e.g. >=1 MHz); standard 1x/10x passive probes; ground clip = DRIVE- = common ground, do not float"
measurement,0.1 ohm low-side current shunt,optional - commissioning only,"inserted in DRIVE- return path for a separate calibration step only; see ELECTRICAL_MEASUREMENT_SETUP.md section 9 caveat; remove before normal data-collection runs"
acoustic,calibrated measurement microphone,required,"documented sensitivity/calibration on file; primary acoustic measurement channel; mounted per measurement_geometry.csv"
acoustic,microphone preamp / interface,required,"vendor-matched to the calibrated microphone; feeds the DAQ/recording system"
acoustic,microphone stand / fixture,required,"fixed, repeatable mount; 100 mm above PCB center, pointing at the board; identical for every run and every board variant"
vibration,laser Doppler vibrometer (LDV),optional - validation only,"used for spot validation of predicted mechanical velocity, independent of the acoustic path; not required for baseline runs"
vibration,accelerometer,not used in baseline,"explicitly not required for the baseline experiment; a possible future extension, out of scope here"
acquisition,data acquisition / recording system,required,"synchronized or time-correlated capture of the scope V_DUT waveform and the microphone waveform; sample rate sufficient to resolve 20 kHz + margin (e.g. >=50 kHz)"
acquisition,logging PC / software,required,"stores raw waveforms and per-run metadata per data_schema.csv"
mechanical,PCB mounting fixture,required,"compliant corner standoffs per pcb_variants.md mounting scheme; identical for all 5 fabrication variants"
electrical,drive/sense lead wire,required,"thin flexible 30-32 AWG, soldered directly to the 4-pad edge interface; see PCB_FABRICATION_SPEC.md section 5"
electrical,cables (BNC/coax),required,"function generator to DRIVE leads, scope probes to SENSE leads"
capacitor,reference MLCC,required,"used on S90 (all 3 footprints), W90-0603, and S0-0603 for position/orientation validation; part number not yet selected"
capacitor,candidate MLCCs,required (quantity TBD),"tested primarily on S90 variants; tracked as placeholders (TBD-1, TBD-2, ...) per experiment_matrix_template.csv; no part numbers chosen yet"
